,type,1a1w0c,1a1w1c,1a1w2c,1a1w3c,2a1w0c,2a1w1c,2a1w2c,2a1w3c,2a2w0c,2a2w1c,2a2w2c,2a2w3c,State,County
9558,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Charlotte County
9559,Living Wage,$15.63,$32.25,$39.49,$50.07,$25.45,$30.41,$34.01,$36.39,$12.73,$17.51,$21.62,$25.12,Virginia,Charlottesville city
9560,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Charlottesville city
9561,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Charlottesville city
9562,Living Wage,$16.33,$31.67,$39.23,$51.23,$24.57,$29.51,$33.12,$36.61,$12.28,$17.22,$21.49,$25.70,Virginia,Chesapeake city
9563,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Chesapeake city
9564,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Chesapeake city
9565,Living Wage,$15.95,$31.02,$38.46,$49.50,$24.38,$28.98,$32.58,$35.23,$12.19,$16.90,$21.10,$24.83,Virginia,Chesterfield County
9566,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Chesterfield County
9567,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Chesterfield County
9568,Living Wage,$19.92,$35.34,$42.50,$54.40,$28.43,$33.58,$37.18,$40.96,$14.21,$19.06,$23.13,$27.29,Virginia,Clarke County
9569,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Clarke County
9570,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Clarke County
9571,Living Wage,$15.95,$31.02,$38.46,$49.50,$24.38,$28.98,$32.58,$35.23,$12.19,$16.90,$21.10,$24.83,Virginia,Colonial Heights city
9572,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Colonial Heights city
9573,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Colonial Heights city
9574,Living Wage,$13.10,$27.51,$33.73,$43.25,$21.81,$26.69,$30.30,$32.66,$10.90,$15.14,$18.74,$21.71,Virginia,Covington city
9575,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Covington city
9576,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Covington city
9577,Living Wage,$13.50,$28.33,$34.62,$44.19,$22.50,$27.43,$31.04,$33.35,$11.25,$15.55,$19.19,$22.18,Virginia,Craig County
9578,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Craig County
9579,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Craig County
9580,Living Wage,$14.98,$31.06,$38.90,$50.86,$23.22,$28.63,$32.23,$35.42,$11.61,$16.92,$21.32,$25.52,Virginia,Culpeper County
9581,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Culpeper County
9582,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Culpeper County
9583,Living Wage,$14.34,$29.30,$35.48,$44.51,$23.40,$28.52,$32.13,$34.04,$11.70,$16.04,$19.61,$22.34,Virginia,Cumberland County
9584,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Cumberland County
9585,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Cumberland County
9586,Living Wage,$13.14,$27.13,$33.15,$41.91,$21.61,$26.51,$30.11,$31.91,$10.80,$14.95,$18.45,$21.04,Virginia,Danville city
9587,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Danville city
9588,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Danville city
9589,Living Wage,$12.98,$26.89,$32.67,$41.10,$22.21,$26.51,$30.11,$31.80,$11.11,$14.83,$18.21,$20.63,Virginia,Dickenson County
9590,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Dickenson County
9591,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Dickenson County
9592,Living Wage,$15.95,$30.35,$37.11,$47.48,$24.38,$28.98,$32.58,$35.23,$12.19,$16.56,$20.43,$23.83,Virginia,Dinwiddie County
9593,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Dinwiddie County
9594,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Dinwiddie County
9595,Living Wage,$13.49,$28.50,$35.14,$44.94,$22.18,$27.26,$30.87,$33.08,$11.09,$15.64,$19.45,$22.56,Virginia,Emporia city
9596,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Emporia city
9597,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Emporia city
9598,Living Wage,$14.12,$29.57,$36.34,$45.89,$22.89,$28.20,$31.81,$33.64,$11.45,$16.17,$20.04,$23.03,Virginia,Essex County
9599,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Essex County
9600,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Essex County
9601,Living Wage,$19.92,$39.57,$50.96,$67.09,$28.43,$33.58,$37.18,$40.96,$14.21,$21.17,$27.36,$33.63,Virginia,Fairfax city
9602,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Fairfax city
9603,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Fairfax city
9604,Living Wage,$19.92,$38.77,$49.37,$64.69,$28.43,$33.58,$37.18,$40.96,$14.21,$20.77,$26.56,$32.43,Virginia,Fairfax County
9605,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Fairfax County
9606,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Fairfax County
9607,Living Wage,$19.92,$39.57,$50.96,$67.09,$28.43,$33.58,$37.18,$40.96,$14.21,$21.17,$27.36,$33.63,Virginia,Falls Church city
9608,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Falls Church city
9609,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Falls Church city
9610,Living Wage,$19.92,$36.76,$45.34,$58.66,$28.43,$33.58,$37.18,$40.96,$14.21,$19.77,$24.55,$29.42,Virginia,Fauquier County
9611,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Fauquier County
9612,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Fauquier County
9613,Living Wage,$13.89,$27.40,$33.70,$43.36,$22.21,$26.51,$30.11,$32.53,$11.11,$15.09,$18.72,$21.77,Virginia,Floyd County
9614,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Floyd County
9615,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Floyd County
9616,Living Wage,$15.63,$31.74,$38.47,$48.53,$25.45,$30.41,$34.01,$36.39,$12.73,$17.26,$21.11,$24.35,Virginia,Fluvanna County
9617,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Fluvanna County
9618,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Fluvanna County
9619,Living Wage,$14.00,$28.38,$34.91,$44.82,$22.87,$27.25,$30.85,$33.28,$11.43,$15.58,$19.33,$22.50,Virginia,Franklin city
9620,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Franklin city
9621,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Franklin city
9622,Living Wage,$13.03,$28.14,$35.14,$44.51,$21.62,$26.53,$30.13,$31.55,$10.81,$15.45,$19.45,$22.34,Virginia,Franklin County
9623,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Franklin County
9624,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Franklin County
9625,Living Wage,$15.09,$30.50,$37.66,$48.37,$23.32,$28.74,$32.34,$34.93,$11.66,$16.64,$20.71,$24.27,Virginia,Frederick County
9626,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Frederick County
9627,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Frederick County
9628,Living Wage,$19.92,$36.01,$43.84,$56.41,$28.43,$33.58,$37.18,$40.96,$14.21,$19.39,$23.80,$28.29,Virginia,Fredericksburg city
9629,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Fredericksburg city
9630,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Fredericksburg city
9631,Living Wage,$12.98,$26.89,$32.67,$41.64,$22.21,$26.51,$30.11,$32.34,$11.11,$14.83,$18.21,$20.90,Virginia,Galax city
9632,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Galax city
9633,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Galax city
9634,Living Wage,$13.07,$27.54,$33.83,$42.55,$21.96,$26.64,$30.25,$31.72,$10.98,$15.16,$18.79,$21.36,Virginia,Giles County
9635,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Giles County
9636,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Giles County
9637,Living Wage,$16.33,$30.88,$37.65,$48.86,$24.57,$29.51,$33.12,$36.61,$12.28,$16.83,$20.70,$24.52,Virginia,Gloucester County
9638,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Gloucester County
9639,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Gloucester County
9640,Living Wage,$15.95,$30.98,$38.38,$49.38,$24.38,$28.98,$32.58,$35.23,$12.19,$16.88,$21.06,$24.78,Virginia,Goochland County
9641,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Goochland County
9642,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Goochland County
9643,Living Wage,$12.98,$26.89,$32.67,$41.62,$22.21,$26.51,$30.11,$32.32,$11.11,$14.83,$18.21,$20.89,Virginia,Grayson County
9644,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Grayson County
9645,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Grayson County
9646,Living Wage,$15.63,$31.70,$38.39,$48.41,$25.45,$30.41,$34.01,$36.39,$12.73,$17.24,$21.07,$24.29,Virginia,Greene County
9647,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Greene County
9648,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Greene County
9649,Living Wage,$13.49,$28.63,$35.40,$45.33,$22.18,$27.26,$30.87,$33.08,$11.09,$15.70,$19.58,$22.75,Virginia,Greensville County
9650,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Greensville County
9651,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Greensville County
9652,Living Wage,$12.98,$27.29,$33.46,$42.01,$21.61,$26.51,$30.11,$31.53,$10.80,$15.03,$18.61,$21.09,Virginia,Halifax County
9653,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Halifax County
9654,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Halifax County
9655,Living Wage,$16.33,$31.16,$38.20,$49.69,$24.57,$29.51,$33.12,$36.61,$12.28,$16.96,$20.98,$24.93,Virginia,Hampton city
9656,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Hampton city
9657,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Hampton city
9658,Living Wage,$15.95,$31.16,$38.74,$49.92,$24.38,$28.98,$32.58,$35.23,$12.19,$16.97,$21.25,$25.05,Virginia,Hanover County
9659,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Hanover County
9660,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Hanover County
9661,Living Wage,$14.39,$30.08,$37.72,$48.51,$22.62,$27.85,$31.45,$33.65,$11.31,$16.43,$20.73,$24.34,Virginia,Harrisonburg city
9662,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Harrisonburg city
9663,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Harrisonburg city
9664,Living Wage,$15.95,$31.06,$38.53,$49.61,$24.38,$28.98,$32.58,$35.23,$12.19,$16.91,$21.14,$24.89,Virginia,Henrico County
9665,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Henrico County
9666,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Henrico County
9667,Living Wage,$13.39,$27.40,$33.70,$42.83,$21.61,$26.51,$30.11,$31.99,$10.80,$15.09,$18.72,$21.50,Virginia,Henry County
9668,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Henry County
9669,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Henry County
9670,Living Wage,$12.98,$27.68,$34.25,$43.60,$21.79,$26.51,$30.11,$31.94,$10.90,$15.23,$19.00,$21.89,Virginia,Highland County
9671,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Highland County
9672,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Highland County
9673,Living Wage,$15.95,$30.35,$37.11,$47.48,$24.38,$28.98,$32.58,$35.23,$12.19,$16.56,$20.43,$23.83,Virginia,Hopewell city
9674,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Hopewell city
9675,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Hopewell city
9676,Living Wage,$16.33,$30.65,$37.18,$48.15,$24.57,$29.51,$33.12,$36.61,$12.28,$16.71,$20.46,$24.16,Virginia,Isle of Wight County
9677,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Isle of Wight County
9678,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Isle of Wight County
9679,Living Wage,$16.33,$31.47,$38.83,$50.63,$24.57,$29.51,$33.12,$36.61,$12.28,$17.12,$21.29,$25.40,Virginia,James City County
9680,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,James City County
9681,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,James City County
9682,Living Wage,$13.80,$29.10,$35.86,$45.31,$22.77,$27.73,$31.33,$33.06,$11.38,$15.93,$19.81,$22.74,Virginia,King and Queen County
9683,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,King and Queen County
9684,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,King and Queen County
9685,Living Wage,$14.89,$31.78,$39.61,$51.98,$24.33,$29.34,$32.94,$36.54,$12.16,$17.27,$21.68,$26.08,Virginia,King George County
9686,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,King George County
9687,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,King George County
9688,Living Wage,$15.95,$30.35,$37.11,$47.48,$24.38,$28.98,$32.58,$35.23,$12.19,$16.56,$20.43,$23.83,Virginia,King William County
9689,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,King William County
9690,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,King William County
9691,Living Wage,$14.33,$29.88,$36.64,$46.27,$23.39,$28.51,$32.11,$34.02,$11.69,$16.32,$20.20,$23.22,Virginia,Lancaster County
9692,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Lancaster County
9693,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Lancaster County
9694,Living Wage,$12.98,$26.89,$32.67,$41.25,$22.14,$26.51,$30.11,$31.96,$11.07,$14.83,$18.21,$20.71,Virginia,Lee County
9695,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Lee County
9696,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Lee County
9697,Living Wage,$13.24,$28.39,$35.08,$44.76,$22.48,$27.10,$30.70,$32.74,$11.24,$15.58,$19.41,$22.46,Virginia,Lexington city
9698,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Lexington city
9699,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Lexington city
9700,Living Wage,$19.92,$38.77,$49.37,$64.69,$28.43,$33.58,$37.18,$40.96,$14.21,$20.77,$26.56,$32.43,Virginia,Loudoun County
9701,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Loudoun County
9702,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Loudoun County
9703,Living Wage,$14.19,$29.60,$36.29,$46.57,$23.80,$28.31,$31.91,$34.56,$11.90,$16.19,$20.02,$23.37,Virginia,Louisa County
9704,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Louisa County
9705,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Louisa County
9706,Living Wage,$12.98,$27.29,$33.46,$42.56,$22.21,$26.51,$30.11,$32.09,$11.11,$15.03,$18.61,$21.37,Virginia,Lunenburg County
9707,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Lunenburg County
9708,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Lunenburg County
9709,Living Wage,$14.03,$29.03,$36.19,$46.50,$22.56,$27.27,$30.87,$33.07,$11.28,$15.90,$19.97,$23.34,Virginia,Lynchburg city
9710,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Lynchburg city
9711,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Lynchburg city
9712,Living Wage,$14.16,$30.69,$38.52,$49.15,$22.93,$28.25,$31.86,$33.70,$11.47,$16.73,$21.13,$24.66,Virginia,Madison County
9713,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Madison County
9714,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Madison County
9715,Living Wage,$19.92,$38.77,$49.37,$64.69,$28.43,$33.58,$37.18,$40.96,$14.21,$20.77,$26.56,$32.43,Virginia,Manassas city
9716,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Manassas city
9717,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Manassas city
9718,Living Wage,$19.92,$38.77,$49.37,$64.69,$28.43,$33.58,$37.18,$40.96,$14.21,$20.77,$26.56,$32.43,Virginia,Manassas Park city
9719,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Manassas Park city
9720,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Manassas Park city
9721,Living Wage,$13.39,$27.40,$33.70,$42.83,$21.61,$26.51,$30.11,$31.99,$10.80,$15.09,$18.72,$21.50,Virginia,Martinsville city
9722,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Martinsville city
9723,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Martinsville city
9724,Living Wage,$16.33,$30.88,$37.65,$48.86,$24.57,$29.51,$33.12,$36.61,$12.28,$16.83,$20.70,$24.52,Virginia,Mathews County
9725,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Virginia,Mathews County
9726,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Virginia,Mathews County
9727,Living Wage,$13.12,$27.49,$33.66,$42.62,$22.08,$26.71,$30.31,$32.14,$11.04,$15.13,$18.71,$21.40,Virginia,Mecklenburg County
